City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
118,st. john's,47.5649,-52.7093,17.38,97,100,4.63,CA,1694724248
119,mangai,-4.05,19.5333,25.43,69,96,0.8,CD,1694724320
120,virginia,37.5481,-77.4467,28.39,46,75,3.6,US,1694724033
121,unterseen,46.6853,7.8472,19.34,78,89,1.05,CH,1694724321
122,afaahiti,-17.75,-149.2833,21.93,88,99,9.07,PF,1694724321
123,norilsk,69.3535,88.2027,8.57,92,100,5.88,RU,1694724321
124,antsiranana,-12.2787,49.2917,23.04,79,46,7.7,MG,1694724321
125,wailua homesteads,22.0669,-159.378,28.24,73,75,6.69,US,1694724322
126,guiping,23.3925,110.0814,23.26,95,100,0.83,CN,1694724322
127,chonchi,-42.6128,-73.8092,12.56,97,100,5.89,CL,1694724322
128,richards bay,-28.783,32.0377,18.94,73,0,1.36,ZA,1694724322
129,ust'-ilimsk,58.0006,102.6619,6.03,76,44,1.24,RU,1694724323
130,happy valley-goose bay,53.3168,-60.3315,21.17,78,75,3.6,CA,1694724323
131,colonia,50.9333,6.95,16.64,74,0,2.06,DE,1694724279
132,labrador city,52.9463,-66.9114,17.95,68,75,2.06,CA,1694724323
133,pimentel,-6.8367,-79.9342,24.16,60,40,9.26,PE,1694724324
134,la ronge,55.1001,-105.2842,16.12,67,75,6.69,CA,1694724324
135,villanueva,15.3167,-88.0,32.55,58,40,7.2,HN,1694724324
136,salinopolis,-0.6136,-47.3561,26.8,83,37,5.91,BR,1694724324
137,zaragoza,41.6561,-0.8773,26.12,52,0,2.57,ES,1694724325
138,retreat,38.8245,-85.8533,26.88,36,0,1.79,US,1694724325
139,fort st. john,56.2499,-120.8529,17.94,32,75,4.12,CA,1694724285
140,igarka,67.4667,86.5833,12.1,87,100,6.13,RU,1694724325
141,ilulissat,69.2167,-51.1,5.01,60,75,0.51,GL,1694724326
142,sarandi del yi,-33.35,-55.6333,12.11,54,64,2.41,UY,1694724326
143,gwadar,25.1216,62.3254,26.2,85,54,1.75,PK,1694724326
144,invercargill,-46.4,168.35,6.68,82,93,4.47,NZ,1694724027
145,jatai,-17.8814,-51.7144,22.99,69,99,2.91,BR,1694724122
146,tres lagoas,-20.7511,-51.6783,21.94,51,100,3.04,BR,1694724235
147,saldanha,-33.0117,17.9442,13.03,88,97,7.74,ZA,1694724327
148,klyuchi,52.2667,79.1667,9.64,90,5,3.0,RU,1694724327
149,aykhal,66.0,111.5,8.09,93,100,7.78,RU,1694724327
150,valparaiso,-33.0393,-71.6273,25.8,51,0,7.72,CL,1694724328
151,villamontes,-21.25,-63.5,28.69,37,0,0.0,BO,1694724328
152,atafu village,-8.5421,-172.5159,28.41,72,3,3.87,TK,1694724328
153,bonthe,7.5264,-12.505,25.69,88,94,2.94,SL,1694724328
154,island harbour,50.724,-1.2758,15.52,90,14,1.03,GB,1694724329
155,amvrosiyivka,47.7935,38.4777,16.01,44,52,2.59,UA,1694724329
156,bowen,-20.0167,148.2333,17.67,78,0,4.46,AU,1694724329
157,kingston,17.997,-76.7936,32.53,66,20,6.17,JM,1694724064
158,aydincik,36.1437,33.3202,25.58,33,0,5.25,TR,1694724329
159,xiva,41.3783,60.3639,13.99,31,73,5.02,UZ,1694724330
160,praia da vitoria,38.7333,-27.0667,23.2,94,75,4.35,PT,1694724330
161,ingeniero jacobacci,-41.3427,-69.5448,11.93,62,86,18.13,AR,1694724330
162,qaqortoq,60.7167,-46.0333,6.33,85,100,3.03,GL,1694724330
163,fuglafjordur,62.244,-6.814,9.26,93,100,16.23,FO,1694724330
164,moro,26.6646,68.0016,31.3,54,74,2.65,PK,1694724331
165,spanish wells,26.323,-81.7957,34.02,66,0,7.2,US,1694724331
166,ravar,31.2656,56.8055,27.33,14,0,1.3,IR,1694724331
167,maraba,-5.3686,-49.1178,32.1,58,0,2.06,BR,1694724067
168,balangir,20.7167,83.4833,24.02,96,100,4.71,IN,1694724122
169,pacasmayo,-7.4006,-79.5714,21.4,71,50,7.12,PE,1694724332
170,santana,-0.0583,-51.1817,33.1,55,20,2.57,BR,1694724332
171,new river,33.9159,-112.136,36.18,36,0,3.43,US,1694724252
172,viljandi,58.3639,25.59,8.55,84,68,2.06,EE,1694724333
173,namibe,-15.1961,12.1522,17.78,87,47,1.01,AO,1694724333
174,jamsa,61.8642,25.19,7.4,82,68,1.82,FI,1694724333
175,port isabel,26.0734,-97.2086,38.05,57,0,10.8,US,1694724333
176,amga,60.8953,131.9608,1.25,96,93,1.13,RU,1694724334
177,sao miguel do iguacu,-25.3481,-54.2378,19.69,61,0,1.83,BR,1694724334
178,stephenville,32.2207,-98.2023,26.59,78,75,0.45,US,1694724334
179,isafjordur,66.0755,-23.124,6.83,67,15,0.32,IS,1694724334
180,shakhtersk,48.0625,38.5167,14.73,47,36,2.49,UA,1694724335
181,porto seguro,-16.4497,-39.0647,26.29,73,20,5.66,BR,1694724335
182,merizo village,13.2658,144.6691,27.21,95,41,5.52,GU,1694724335
183,vilyuysk,63.7553,121.6247,1.25,96,100,2.38,RU,1694724335
184,magdagachi,53.45,125.8,2.33,95,0,2.51,RU,1694724336
185,badger,64.8,-147.5333,13.96,59,75,2.06,US,1694724336
186,kodiak,57.79,-152.4072,9.73,66,40,2.06,US,1694724190
187,gornozavodsk,58.3758,58.3211,8.57,92,83,1.22,RU,1694724336
188,tocopilla,-22.092,-70.1979,20.19,68,15,2.95,CL,1694724114
189,holualoa,19.6228,-155.9522,28.77,70,20,5.14,US,1694724337
190,palmer,42.1584,-72.3287,23.75,51,40,4.63,US,1694724337
191,illizi,26.4833,8.4667,32.89,14,8,5.41,DZ,1694724337
192,abdanan,32.9926,47.4198,24.9,27,0,5.0,IR,1694724337
193,san andres,12.5847,-81.7006,32.01,70,40,3.09,CO,1694724338
194,mlimba,-8.8,35.8167,22.86,51,2,1.38,TZ,1694724338
195,la passe,45.5549,-0.8967,21.13,74,0,2.95,FR,1694724338
196,tabou,4.423,-7.3528,24.8,91,97,2.22,CI,1694724338
197,sisimiut,66.9395,-53.6735,3.48,86,100,11.65,GL,1694724338
198,yanykurgan,43.915,67.2481,15.34,32,45,5.12,KZ,1694724339
199,panacan,9.2463,118.4082,26.5,83,100,1.67,PH,1694724339
200,awjilah,29.1081,21.2869,24.23,43,0,4.53,LY,1694724339
201,hirara,24.8,125.2833,27.92,94,40,5.14,JP,1694724339
202,smithers,54.7804,-127.1743,14.18,54,75,1.54,CA,1694724340
203,surgut,61.25,73.4167,11.06,93,20,0.0,RU,1694724079
204,revelstoke,50.9832,-118.2023,20.01,42,20,1.03,CA,1694724141
205,yulinshi,38.2906,109.7494,16.95,78,8,5.2,CN,1694724340
206,port hedland,-20.3167,118.5667,18.03,94,0,3.09,AU,1694724340
207,yuanping,38.7153,112.7575,14.63,90,1,0.59,CN,1694724341
208,mejit,10.2753,170.8646,28.61,75,100,6.55,MH,1694724341
209,alofi,-19.0595,-169.9187,24.94,69,40,7.2,NU,1694724341
210,tamanrasset,22.785,5.5228,29.95,17,40,2.06,DZ,1694724341
211,jhabua,22.7667,74.6,23.35,95,100,3.52,IN,1694724343
212,al lagowa,11.4,29.1333,26.92,57,49,1.95,SD,1694724343
213,rabo de peixe,37.8,-25.5833,22.73,88,40,1.03,PT,1694724139
214,nueva helvecia,-34.3,-57.2333,15.89,59,68,1.97,UY,1694724343
215,haiku-pauwela,20.9219,-156.3051,27.36,76,75,6.69,US,1694724343
216,dhidhdhoo,6.8833,73.1,27.9,77,99,4.83,MV,1694724344
217,chebba,35.2372,11.115,25.85,61,82,4.79,TN,1694724344
218,el abiodh sidi cheikh,32.893,0.5484,25.74,34,100,1.79,DZ,1694724344
219,yerofey pavlovich,53.9667,121.9667,0.37,88,4,1.55,RU,1694724344
220,remire-montjoly,4.9167,-52.2667,31.02,70,0,6.69,GF,1694724344
221,susuman,62.7833,148.1667,3.12,85,100,1.39,RU,1694724345
222,quezon,7.7303,125.0989,22.68,96,98,0.37,PH,1694724345
223,porto novo,6.4965,2.6036,25.9,90,48,3.0,BJ,1694724345
224,moranbah,-22.0016,148.0466,14.66,79,0,4.38,AU,1694724345
225,goz beida,13.95,20.55,24.77,77,100,4.55,TD,1694724345
226,leava,-14.3,-178.1667,27.32,78,80,9.07,WF,1694724346
227,soio,-6.1349,12.3689,23.45,89,30,2.9,AO,1694724346
228,stanley,54.868,-1.6985,13.21,88,20,0.51,GB,1694724346
229,san patricio,28.017,-97.5169,38.4,44,10,7.91,US,1694724346
230,kone,-21.0595,164.8658,19.23,97,98,3.59,NC,1694724347
231,heroica guaymas,27.9333,-110.9,37.16,46,20,4.63,MX,1694724347
232,phaltan,17.9833,74.4333,22.45,83,76,2.53,IN,1694724347
233,roses,42.262,3.1769,23.35,73,5,3.21,ES,1694724347
234,beaconsfield,45.4334,-73.8659,16.68,74,100,6.69,CA,1694724348
235,fort bragg,35.139,-79.006,30.08,55,40,6.69,US,1694724348
236,snezhinsk,56.085,60.7314,13.31,75,17,0.45,RU,1694724348
237,kievka,50.2619,71.5514,11.29,74,97,1.98,KZ,1694724080
238,i-n-salah,27.1935,2.4607,33.97,11,1,6.53,DZ,1694724348
239,arkhara,49.4212,130.0842,8.34,95,100,2.48,RU,1694724349
240,pontiac,42.6389,-83.2911,21.72,56,75,2.06,US,1694724349
241,al qubbah,32.7616,22.2424,18.94,81,18,6.44,LY,1694724349
242,konstantinovka,49.6167,127.9833,12.18,75,100,3.78,RU,1694724349
243,punta arenas,-53.15,-70.9167,7.06,49,75,7.72,CL,1694724350
244,yambio,4.5721,28.3955,20.39,98,100,0.95,SS,1694724350
245,glace bay,46.1969,-59.957,20.61,97,100,6.69,CA,1694724350
246,kapa'a,22.0752,-159.319,28.99,72,75,6.69,US,1694724350
247,whitehorse,60.7161,-135.0538,10.43,66,75,8.23,CA,1694724350
248,new norfolk,-42.7826,147.0587,15.72,70,92,2.07,AU,1694724351
249,vuktyl,63.8567,57.3094,10.79,87,7,2.7,RU,1694724351
250,cambria,35.5641,-121.0808,31.8,64,14,1.94,US,1694724351
251,fleron,50.6151,5.6814,15.98,82,0,3.09,BE,1694724351
252,akureyri,65.6835,-18.0878,5.96,93,75,3.09,IS,1694724351
253,amasra,41.7463,32.3863,17.97,57,1,2.81,TR,1694724352
254,alexandria,31.2156,29.9553,24.3,65,0,4.46,EG,1694724352
255,banda aceh,5.5577,95.3222,26.0,81,100,2.01,ID,1694724352
256,bilaspur,22.0833,82.15,24.27,96,100,1.3,IN,1694724353
257,greymouth,-42.4667,171.2,10.66,82,87,2.51,NZ,1694724353
258,quibdo,5.6947,-76.6611,26.19,100,75,5.14,CO,1694724353
259,martinho campos,-19.3317,-45.2369,29.08,29,56,1.77,BR,1694724353
260,inga,-7.2808,-35.6044,29.25,73,19,5.74,BR,1694724354
261,saipan,15.1355,145.701,27.39,89,40,2.06,MP,1694724354
262,fale old settlement,-9.3852,-171.2468,28.28,74,20,3.38,TK,1694724354
263,padang,-0.9492,100.3543,24.03,90,36,2.45,ID,1694724282
264,misratah,32.3754,15.0925,24.99,59,1,5.18,LY,1694724354
265,chernyshevsk,52.5243,117.0174,5.2,88,31,3.09,RU,1694724355
266,bogande,12.9714,-0.1436,28.38,59,8,4.27,BF,1694724355
267,nar'yan-mar,67.6713,53.087,6.48,92,100,6.35,RU,1694724355
268,severo-yeniseyskiy,60.3725,93.0408,4.15,86,14,0.86,RU,1694724355
269,pierre,44.3683,-100.351,22.51,64,100,5.14,US,1694724356
270,ketchikan,55.3422,-131.6461,14.26,72,100,8.23,US,1694724356
271,aasiaat,68.7098,-52.8699,0.65,98,100,1.66,GL,1694724356
272,inirida,3.8653,-67.9239,33.08,50,80,1.82,CO,1694724356
273,tevriz,57.509,72.4042,10.19,85,32,0.19,RU,1694724357
274,siwa oasis,29.2041,25.5195,27.43,22,0,2.19,EG,1694724357
275,north bend,43.4065,-124.2243,35.69,60,0,5.14,US,1694724357
276,bogalusa,30.791,-89.8487,33.18,51,40,0.0,US,1694724357
277,nyurba,63.2842,118.3319,4.11,96,100,3.51,RU,1694724357
278,astoria,46.1879,-123.8313,28.73,56,0,3.6,US,1694724358
279,tejen,37.3834,60.5054,21.17,29,0,3.4,TM,1694724358
280,florence,43.7667,11.25,23.63,70,20,2.24,IT,1694724267
281,zaraza,9.3503,-65.3245,29.9,64,95,0.61,VE,1694724358
282,buerarema,-14.9594,-39.2997,27.33,89,0,1.61,BR,1694724359
283,rimouski,48.4488,-68.524,19.1,78,2,6.03,CA,1694724319
284,newman,37.3138,-121.0208,33.92,18,0,0.48,US,1694724359
285,bethanie,-26.4833,17.15,16.13,12,0,1.89,NA,1694724359
286,bahia de kino,28.8333,-111.9333,40.51,39,0,5.45,MX,1694724359
287,maintirano,-18.0667,44.0167,24.23,84,0,0.85,MG,1694724360
288,el calafate,-50.3408,-72.2768,1.82,87,100,0.37,AR,1694724360
